Date,BAJFINANCE,HDFCBANK,ICICIBANK,INFY,RELIANCE,SBIN,TCS,WIPRO
2018-01-05,176.72015380859375,434.8122253417969,300.5524597167969,397.9742736816406,405.9512023925781,277.6692199707031,1086.8948974609375,105.93062591552734
2018-01-12,172.39588928222656,435.2088928222656,305.16302490234375,424.10601806640625,417.2734680175781,273.95306396484375,1122.118408203125,109.09606170654297
2018-01-19,165.753662109375,455.4842529296875,339.6463928222656,449.6676330566406,409.4908142089844,280.2976989746094,1196.0614013671875,112.56947326660156
2018-01-26,166.57180786132812,460.7922058105469,346.5622253417969,462.232177734375,424.7043762207031,283.83258056640625,1264.4268798828125,106.75191497802734
2018-02-02,158.64395141601562,454.5042724609375,321.8764343261719,449.58905029296875,397.64093017578125,269.5118103027344,1277.6337890625,103.2037124633789
2018-02-09,159.6665802001953,431.5224914550781,313.8558349609375,436.1789855957031,394.78289794921875,268.6507873535156,1203.9208984375,97.84783172607422
2018-02-16,163.1581268310547,438.31201171875,308.38079833984375,443.61163330078125,405.0938415527344,246.2178497314453,1188.2625732421875,99.90778350830078
2018-02-23,159.0822296142578,438.7669982910156,310.0137023925781,454.4654541015625,410.78790283203125,250.20590209960938,1246.0950927734375,101.28108215332031
2018-03-02,161.60958862304688,437.32037353515625,292.9161376953125,456.4709777832031,417.0096435546875,237.6072540283203,1230.6593017578125,100.42276763916016
2018-03-09,161.10801696777344,431.88409423828125,281.1495666503906,457.51312255859375,401.4882507324219,229.54049682617188,1229.20068359375,97.864990234375
2018-03-16,164.39015197753906,432.33905029296875,286.33648681640625,460.8558654785156,395.75018310546875,228.679443359375,1144.772216796875,101.53858184814453
2018-03-23,164.13693237304688,429.6675720214844,264.6763000488281,459.1647644042969,393.04608154296875,212.81781005859375,1141.713134765625,97.72767639160156
2018-03-30,172.14755249023438,440.06182861328125,267.3658142089844,445.0863037109375,388.1214904785156,226.5041046142578,1154.272216796875,96.5260238647461
2018-04-06,188.7092742919922,448.76470947265625,269.5751037597656,443.1986389160156,400.5649108886719,235.3866424560547,1195.2513427734375,97.48733520507812
2018-04-13,186.44488525390625,449.137939453125,276.87518310546875,460.6787414550781,412.810546875,227.45584106445312,1277.4921875,100.9892578125
2018-04-20,183.1383819580078,456.3475036621094,271.0158996582031,463.4314880371094,407.99578857421875,218.61863708496094,1378.43017578125,102.3282241821289
2018-04-27,185.15931701660156,448.76470947265625,276.5389709472656,466.0860290527344,438.0711669921875,219.88755798339844,1398.484130859375,94.80940246582031
2018-05-04,180.89833068847656,463.95367431640625,271.6883239746094,461.32763671875,419.4499816894531,219.29840087890625,1410.1517333984375,92.66360473632812
2018-05-11,181.29763793945312,469.37835693359375,298.6794128417969,464.3361511230469,434.9712829589844,226.91201782226562,1400.509765625,93.60774993896484
2018-05-18,209.36151123046875,469.4716491699219,274.80999755859375,465.29962158203125,410.6120300292969,216.48863220214844,1418.7806396484375,92.32028198242188
2018-05-25,206.08424377441406,468.6667175292969,283.9831848144531,483.03546142578125,404.8739318847656,241.95790100097656,1452.710205078125,90.84397888183594
2018-06-01,202.3248748779297,495.5872497558594,277.88372802734375,480.0860595703125,409.1610107421875,241.73130798339844,1415.4112548828125,89.4706802368164
2018-06-08,212.9845733642578,481.2051696777344,276.87518310546875,495.5212097167969,432.8167724609375,247.44149780273438,1427.3798828125,90.63799285888672
2018-06-15,222.4073486328125,476.5676574707031,271.35205078125,516.2086791992188,445.94171142578125,251.47486877441406,1503.3199462890625,91.63362884521484
2018-06-22,227.51560974121094,489.1886291503906,288.7858581542969,502.7519226074219,445.1942443847656,247.48680114746094,1478.60595703125,88.66386413574219
2018-06-29,223.64910888671875,495.082275390625,264.5322570800781,526.6637573242188,430.442626953125,235.0694122314453,1509.611328125,89.77967071533203
2018-07-06,228.84812927246094,496.6555480957031,259.39337158203125,517.417236328125,432.7000732421875,233.1207275390625,1562.87939453125,90.22599029541016
2018-07-13,240.8383026123047,512.09423828125,257.18414306640625,530.7732543945312,486.8125305175781,233.61920166015625,1618.5579833984375,96.42302703857422
2018-07-20,265.4967956542969,514.0078735351562,255.3111114501953,543.1422729492188,499.5826416015625,237.0181427001953,1634.5081787109375,97.16117095947266
2018-07-27,264.75042724609375,517.0839233398438,281.6298522949219,553.3555297851562,500.1138000488281,259.9041748046875,1591.24267578125,94.2428970336914
2018-08-03,261.58953857421875,498.1817932128906,292.9642333984375,549.5885009765625,520.9619750976562,271.23394775390625,1620.4686279296875,95.44454193115234
2018-08-10,273.9943542480469,496.4911193847656,315.6329345703125,558.1902465820312,533.0238037109375,275.9471130371094,1631.6427001953125,95.73638153076172
2018-08-17,278.1650390625,487.77972412109375,326.5830383300781,576.2802124023438,532.8247680664062,273.817138671875,1647.7293701171875,96.14836120605469
2018-08-24,284.5455322265625,486.01873779296875,318.5387268066406,555.3095703125,565.4691772460938,272.3215637207031,1672.4930419921875,100.3025894165039
